movieId,doubanId
354,1309086
355,1307955
356,1305065
357,1329950
358,1309199
359,1482072
360,1417753
361,1390022
362,1390021
363,2209573
364,1297630
365,1304073
366,1824412
367,3003137
368,1300616
369,1308810
370,1310170
371,1389980
372,1400665
373,1304677
374,1293607
375,1302425
376,1292213
377,1299398
378,1300566
379,1299680
380,1298644
381,1300498
382,1302090
383,1291543
384,1293351
385,1297518
386,1306951
387,1297863
388,1297223
389,1329936
390,1306249
391,1862151
392,1417598
393,1303203
394,1308111
395,1308838
396,1307762
397,1300608
398,1393479
399,1306160
400,1294927
401,1305265
402,1308655
403,1308749
404,1305164
405,1291999
406,1291555
407,1418070
408,1867408
409,1890784
410,1307694
411,1307106
412,1307914
413,1291550
414,1292720
415,1295644
416,1308047
417,1427789
418,1482366
419,1309184
420,1455849
421,1308554
422,1307696
423,1461124
425,3529375
426,1773217
427,2054070
428,1428344
429,1431755
430,1308829
431,1309217
432,1307488
433,1303184
434,1296026
435,1418919
436,1305114
437,1306808
438,1436870
439,1307956
440,1300300
441,1305903
442,1297192
443,1305053
444,1482055
445,1949312
446,1950148
447,1760622
448,1484091
449,2132495
450,1292062
451,1291869
452,1301746
453,1293544
454,1292274
455,3215640
456,1817253
457,1316510
458,3811342
459,6110548
460,1440703
461,3319755
462,4739952
463,3646523
464,2153526
465,2275370
467,3986493
468,3003836
469,3057495
470,2968813
471,1476422
472,3543690
473,3114109
474,1433330
475,2133403
477,1308599
482,2146991
483,4167113
484,1428581
485,4202302
486,2157130
488,1473074
489,1307821
490,1300299
491,1295437
493,1295942
494,2153480
495,1297399
496,3057368
497,4914642
499,4889194
500,1931974
504,5961578
507,2263102
508,3321409
510,1298733
511,4189694
512,4135704
514,1295409
515,1292214
516,1293182
517,1307503
518,1293852
519,1302128
520,1863941
521,3007773
522,1292269
524,1291868
525,1297052
527,1294136
528,1950821
530,1306666
531,2034997
532,1309106
535,2976123
536,1292216
537,1300266
539,1291878
541,1293019
542,1292218
543,1299080
544,1308807
545,1291879
546,1353727
547,2214123
548,2282511
549,2190934
550,2241523
551,2983434
553,2155359
554,2153523
555,1863955
556,3072883
557,1433360
558,1292223
559,1434172
560,1786833
561,1786753
562,3002819
563,2056653
564,1961963
566,1764730
567,2972166
568,1765009
569,1585146
570,1293870
571,1299292
572,1293964
573,1807959
574,1782004
575,1883755
576,1300082
577,1302303
578,1851906
579,1293258
580,1306123
581,1366853
582,1306319
583,1306983
584,1308338
585,1781636
586,1428576
587,1431718
588,1428577
589,1461981
590,1298874
591,1308078
592,1305034
593,1297187
596,1296223
597,1340528
598,2160385
600,2027742
601,1305541
602,1305902
603,2132220
605,1898223
607,1307847
608,1299131
609,1849031
610,1426819
611,1307979
612,1863947
613,3033864
614,1461985
615,2279772
616,1820156
617,3026005
618,1299811
619,1947144
620,1419933
621,1433577
622,1937401
624,1828115
626,1949811
627,1926007
628,2278017
629,2153579
631,1298299
632,1940867
633,2263112
634,1292222
636,1292211
637,1298917
639,1297763
640,1299193
641,1291856
643,1302531
644,1369747
645,1761848
646,2027945
647,1876781
649,1309053
650,1915403
651,1304854
653,1307561
